id,email,handle,first_name,last_name,subscription_status,created_at
K3NnFC,K3NnFC@example.com,legend_gem_6638,John,Doe,PRO,2026-01-27 01:08:38
test-compare-456,compare456@example.com,pro_score_6351,Compare,Tester,PRO,2026-01-26 03:18:18
test-compare-pro,comparetest@example.com,ace_crown_8459,Compare,Tester,PRO,2026-01-26 02:55:51
MoNBG1,MoNBG1@example.com,ace_stash_8853,John,Doe,FREE,2026-01-25 22:50:29
dx9ZDutg,prouser6H1eHN@test.com,legend_archive_5415,Test,User,FREE,2026-01-22 22:39:26
CXtq_C4J,prouserT9vmhZ@test.com,ace_collector_4446,Test,User,FREE,2026-01-22 22:36:08
DtMOhj,testuser2VEaLJ@example.com,prime_trove_7261,Test,User,FREE,2026-01-22 05:14:52
test-mobile-user,mobile-test@example.com,silver_grail_5793,Mobile,Tester,FREE,2026-01-21 19:43:06
tdklW6,tdklW6@example.com,elite_hunter_6866,John,Doe,FREE,2026-01-21 18:51:41
test-user-update-ikfZjo,testupdateKAW0sn@example.com,legend_gem_7304,Test,User,FREE,2026-01-19 05:00:54
pri7FA8A,manualtestL-dEZC@example.com,super_deck_1733,Manual,Tester,FREE,2026-01-18 16:50:57
gJbmziAw,onboardN9jzoQ@example.com,super_diamond_2108,New,Collector,FREE,2026-01-18 16:27:28
new-user-yKcJYrCF,testuser1768752358336@example.com,ace_grail_5261,Test,Collector,FREE,2026-01-18 16:06:23
stripe-test-oObfCY,stripe-uPcZ97@test.com,prime_hit_671,Stripe,Tester,FREE,2026-01-17 15:19:57
test-scan-9kjllo,scan--Wot89@test.com,golden_trader_6792,Scan,Tester,FREE,2026-01-17 07:34:36
test-price-um8paj,price-GH14Zi@test.com,rookie_archive_4207,Price,Tester,FREE,2026-01-17 07:32:10
test-scanner-942pq0,scanner-sqK4Yn@test.com,graded_trader_7479,Test,Scanner,FREE,2026-01-17 07:30:03
demo-user-onboarding,demouser@example.com,pro_cache_8986,Demo,User,FREE,2026-01-15 19:06:08
test-quick--t1Hbg,quicklkmdmX@test.com,graded_keeper_7934,Quick,Tester,FREE,2025-12-17 04:16:03
test-quick-_V8-JW,quicktestn9oi8y@example.com,neo_grail_9691,Quick,Tester,FREE,2025-12-17 03:50:42
test-quick-4VWWKd,quicktestmieCqC@example.com,graded_score_5103,Quick,Tester,FREE,2025-12-17 03:47:17
test-alerts-user-m-TVdX,alerttestZNrGKu@example.com,pristine_deck_697,Alert,Tester,FREE,2025-12-14 17:54:15
alerts-fix-zHShEQ,alertfixqinDvd@example.com,rookie_grail_7194,Alert,Fix,FREE,2025-12-14 17:30:02
alerts-test-95fxlW,alerttestv6FU8_@example.com,rare_archive_8825,Alert,Tester,FREE,2025-12-14 17:26:04
alerts-owner-1HBWex,alertownerOE4Uju@example.com,cosmic_archive_5339,Alert,Owner,FREE,2025-12-14 17:24:20
test-user-alerts-fix-xV8GxO,testalertstGe9fX@example.com,rare_chest_3820,Test,User,FREE,2025-12-14 17:21:39
prRSRt,testalertsX4965L@example.com,elite_diamond_2937,Alert,Tester,FREE,2025-12-14 08:11:15
layout-debug-C27CCL,debuglayoutWAI_bM@example.com,prime_hunter_1245,Debug,User,FREE,2025-12-14 07:12:49
layout-test-user-iT2UGs,layouttestkolzU8@example.com,prime_trove_6355,Layout,Tester,FREE,2025-12-14 06:58:55
layout-test-user,layouttest@example.com,silver_gem_92,Layout,Tester,FREE,2025-12-14 06:51:54
xUy35x,xUy35x@example.com,pro_trader_2668,John,Doe,FREE,2025-12-12 23:59:04
onboarding_test_user_2Lf92P,onboarding_test_FCteas@example.com,lucky_hunter_9143,New,User,FREE,2025-12-12 20:55:23
settings-test-user-xALtrp,settingstestYNO6jO@example.com,mega_hoard_9357,Test,User,FREE,2025-12-12 07:12:35
outlook-api-tester-4BfZ-b,apitestzrG7hX@example.com,epic_pack_7946,API,Tester,FREE,2025-12-11 16:45:31
test-outlook-user-${nanoid(6)},outlooktestQ58Y-A@example.com,classic_find_5116,Outlook,Tester,FREE,2025-12-11 16:43:01
outlook-ui-test-SHmrrF,outlookui7Xt6QD@example.com,royal_diamond_7096,UI,Tester,FREE,2025-12-11 06:50:36
test-outlook-user-Y9wTIa,outlooktestNvP6xn@example.com,mint_crown_2913,Outlook,Tester,FREE,2025-12-11 06:47:57
cscTK8,cscTK8@example.com,elite_diamond_1120,John,Doe,FREE,2025-12-10 23:03:02
SASbkl,userZpFRJ3@example.com,rookie_trader_2291,Test,Collector,FREE,2025-12-10 07:45:26
prestige-test-user-e4JppM,prestige-test-YUhBf4@example.com,vintage_chest_2386,Prestige,Tester,FREE,2025-12-10 03:45:53
test-user-offers-1,testuser1@example.com,silver_pearl_6578,Test,User1,FREE,2025-12-10 03:33:34
test-dup-user-DfhBs2,test-dup-F9bc2F@example.com,graded_deck_1547,Test,Duplicate,FREE,2025-12-09 02:48:32
test-tags-user-BndKjP,tagtesthg-9k1@example.com,cosmic_hit_9182,Tag,Tester,FREE,2025-12-08 19:24:49
Bxsh8P,tester2FhFyq@example.com,classic_find_5142,Test,User,FREE,2025-12-08 17:54:18
test-user-top-cards,test-top-cards@example.com,prime_trove_6733,Test,User,FREE,2025-12-08 17:23:38
test-modal-user,testmodal@example.com,epic_grail_4319,Test,Modal,FREE,2025-12-07 06:55:19
social-tester-GYGOGn,socialtester@example.com,silver_pack_9877,Social,Tester,FREE,2025-12-07 05:44:34
test-social-user-14523,socialtest@example.com,graded_trove_9779,Test,User,FREE,2025-12-07 05:44:08
test-free-user-6a0IPI,freeuserQUoWm1@example.com,neo_trader_7221,Free,User,FREE,2025-12-07 05:28:50
DYJBpi,themetestlGMki2@example.com,graded_chest_8584,Theme,Tester,FREE,2025-12-07 04:43:03
49339926,jordanlinford@gmail.com,pro_diamond_6095,Jordan,Linford,PRO,2025-12-07 04:35:25
